time,voltage,voltage,current,current
0.000906,0.0350101,0.0876327,3.5053e-06,1.2264e-06
0.000907,0.0344974,0.0872195,3.4888e-06,1.2172e-06
0.000908,0.0339848,0.0868063,3.4723e-06,1.2079e-06
0.000909,0.0334722,0.0863931,3.4557e-06,1.1987e-06
0.00091,0.0329596,0.0859799,3.4392e-06,1.1894e-06
0.000911,0.032447,0.0855667,3.4227e-06,1.1801e-06
0.000912,0.0319344,0.0851535,3.4061e-06,1.1709e-06
0.000913,0.0314218,0.0847402,3.3896e-06,1.1616e-06
0.000914,0.0309092,0.084327,3.3731e-06,1.1524e-06
0.000915,0.0303966,0.0839138,3.3566e-06,1.1431e-06
0.000916,0.029884,0.0835006,3.34e-06,1.1338e-06
0.000917,0.0293714,0.0830874,3.3235e-06,1.1246e-06
0.000918,0.0288588,0.0826742,3.307e-06,1.1153e-06
0.000919,0.0283461,0.082261,3.2904e-06,1.1061e-06
0.00092,0.0278335,0.0818478,3.2739e-06,1.0968e-06
0.000921,0.0273209,0.0814346,3.2574e-06,1.0876e-06
0.000922,0.0268083,0.0810214,3.2409e-06,1.0783e-06
0.000923,0.0262957,0.0806082,3.2243e-06,1.069e-06
0.000924,0.0257831,0.080195,3.2078e-06,1.0598e-06
0.000925,0.0252705,0.0797818,3.1913e-06,1.0505e-06
0.000926,0.0247579,0.0793686,3.1747e-06,1.0413e-06
0.000927,0.0242453,0.0789554,3.1582e-06,1.032e-06
0.000928,0.0237327,0.0785422,3.1417e-06,1.0227e-06
0.000929,0.0232201,0.078129,3.1252e-06,1.0135e-06
0.00093,0.0227074,0.0777158,3.1086e-06,1.0042e-06
0.000931,0.0221948,0.0773026,3.0921e-06,9.949745e-07
0.000932,0.0216822,0.0768894,3.0756e-06,9.857164e-07
0.000933,0.0214513,0.0765585,3.0623e-06,9.80098e-07
0.000934,0.0213347,0.0762609,3.0504e-06,9.75956e-07
0.000935,0.0212181,0.0759633,3.0385e-06,9.718139e-07
0.000936,0.0211015,0.0756657,3.0266e-06,9.676719e-07
0.000937,0.0209849,0.0753681,3.0147e-06,9.635299e-07
0.000938,0.0208683,0.0750705,3.0028e-06,9.593878e-07
0.000939,0.0207517,0.0747729,2.9909e-06,9.552458e-07
0.00094,0.020635,0.0744753,2.979e-06,9.511038e-07
0.000941,0.0205184,0.0741778,2.9671e-06,9.469618e-07
0.000942,0.0204018,0.0738802,2.9552e-06,9.428197e-07
0.000943,0.0202852,0.0735826,2.9433e-06,9.386777e-07
0.000944,0.0201686,0.073285,2.9314e-06,9.345357e-07
0.000945,0.020052,0.0729874,2.9195e-06,9.303936e-07
0.000946,0.0199353,0.0726898,2.9076e-06,9.262516e-07
0.000947,0.0198187,0.0723922,2.8957e-06,9.221096e-07
0.000948,0.0197021,0.0720946,2.8838e-06,9.179676e-07
0.000949,0.0195855,0.0717971,2.8719e-06,9.138255e-07
0.00095,0.0194689,0.0714995,2.86e-06,9.096835e-07
0.000951,0.0193523,0.0712019,2.8481e-06,9.055415e-07
0.000952,0.0192357,0.0709043,2.8362e-06,9.013994e-07
0.000953,0.019119,0.0706067,2.8243e-06,8.972574e-07
0.000954,0.0190024,0.0703091,2.8124e-06,8.931154e-07
0.000955,0.0188858,0.0700115,2.8005e-06,8.889734e-07
0.000956,0.0187692,0.0697139,2.7886e-06,8.848313e-07
0.000957,0.0186526,0.0694164,2.7767e-06,8.806893e-07
0.000958,0.018536,0.0691188,2.7648e-06,8.765473e-07
0.000959,0.0184193,0.0688212,2.7528e-06,8.724052e-07
0.00096,0.0183027,0.0685236,2.7409e-06,8.682632e-07
0.000961,0.0181861,0.068226,2.729e-06,8.641212e-07
0.000962,0.0180695,0.0679284,2.7171e-06,8.599792e-07
0.000963,0.0179529,0.0676308,2.7052e-06,8.558371e-07
0.000964,0.0178363,0.0673332,2.6933e-06,8.516951e-07
0.000965,0.0177196,0.0670357,2.6814e-06,8.475531e-07
0.000966,0.017603,0.0667381,2.6695e-06,8.43411e-07
0.000967,0.0174864,0.0664405,2.6576e-06,8.39269e-07
0.000968,0.0173698,0.0661429,2.6457e-06,8.35127e-07
0.000969,0.0172532,0.0658453,2.6338e-06,8.309849e-07
0.00097,0.0171366,0.0655477,2.6219e-06,8.268429e-07
0.000971,0.01702,0.0652501,2.61e-06,8.227009e-07
0.000972,0.0169033,0.0649525,2.5981e-06,8.185589e-07
0.000973,0.0167867,0.064655,2.5862e-06,8.144168e-07
0.000974,0.0166701,0.0643574,2.5743e-06,8.102748e-07
0.000975,0.0165535,0.0640598,2.5624e-06,8.061328e-07
0.000976,0.0164369,0.0637622,2.5505e-06,8.019907e-07
0.000977,0.0163203,0.0634646,2.5386e-06,7.978487e-07
0.000978,0.0162036,0.063167,2.5267e-06,7.937067e-07
0.000979,0.016087,0.0628694,2.5148e-06,7.895647e-07
0.00098,0.0159704,0.0625718,2.5029e-06,7.854226e-07
0.000981,0.0158538,0.0622743,2.491e-06,7.812806e-07
0.000982,0.0157372,0.0619767,2.4791e-06,7.771386e-07
0.000983,0.0156206,0.0616791,2.4672e-06,7.729965e-07
0.000984,0.015504,0.0613815,2.4553e-06,7.688545e-07
0.000985,0.0153873,0.0610839,2.4434e-06,7.647125e-07
0.000986,0.0152707,0.0607863,2.4315e-06,7.605705e-07
0.000987,0.0151541,0.0604887,2.4195e-06,7.564284e-07
0.000988,0.0150375,0.0601911,2.4076e-06,7.522864e-07
0.000989,0.0149209,0.0598936,2.3957e-06,7.481444e-07
0.00099,0.0148043,0.059596,2.3838e-06,7.440023e-07
0.000991,0.0146876,0.0592984,2.3719e-06,7.398603e-07
0.000992,0.014571,0.0590008,2.36e-06,7.357183e-07
0.000993,0.0144544,0.0587032,2.3481e-06,7.315763e-07
0.000994,0.0144693,0.058469,2.3388e-06,7.293832e-07
0.000995,0.0145315,0.0582575,2.3303e-06,7.278901e-07
0.000996,0.0145936,0.0580461,2.3218e-06,7.263971e-07
0.000997,0.0146558,0.0578346,2.3134e-06,7.249041e-07
0.000998,0.014718,0.0576231,2.3049e-06,7.234111e-07
0.000999,0.0147801,0.0574117,2.2965e-06,7.219181e-07
0.001,0.0148423,0.0572002,2.288e-06,7.20425e-07
0.001001,0.0149044,0.0569888,2.2796e-06,7.18932e-07
0.001002,0.0149666,0.0567773,2.2711e-06,7.17439e-07
0.001003,0.0150288,0.0565658,2.2626e-06,7.15946e-07
0.001004,0.0150909,0.0563544,2.2542e-06,7.144529e-07
0.001005,0.0151531,0.0561429,2.2457e-06,7.129599e-07
0.001006,0.0152152,0.0559315,2.2373e-06,7.114669e-07
0.001007,0.0152774,0.05572,2.2288e-06,7.099739e-07
0.001008,0.0153395,0.0555085,2.2203e-06,7.084809e-07
0.001009,0.0154017,0.0552971,2.2119e-06,7.069878e-07
0.00101,0.0154639,0.0550856,2.2034e-06,7.054948e-07
0.001011,0.015526,0.0548742,2.195e-06,7.040018e-07
0.001012,0.0155882,0.0546627,2.1865e-06,7.025088e-07
0.001013,0.0156503,0.0544512,2.178e-06,7.010157e-07
0.001014,0.0157125,0.0542398,2.1696e-06,6.995227e-07
0.001015,0.0157746,0.0540283,2.1611e-06,6.980297e-07
0.001016,0.0158368,0.0538169,2.1527e-06,6.965367e-07
0.001017,0.015899,0.0536054,2.1442e-06,6.950437e-07
0.001018,0.0159611,0.0533939,2.1358e-06,6.935506e-07
0.001019,0.0160233,0.0531825,2.1273e-06,6.920576e-07
0.00102,0.0160854,0.052971,2.1188e-06,6.905646e-07
0.001021,0.0161476,0.0527596,2.1104e-06,6.890716e-07
0.001022,0.0162098,0.0525481,2.1019e-06,6.875786e-07
0.001023,0.0162719,0.0523366,2.0935e-06,6.860855e-07
0.001024,0.0163341,0.0521252,2.085e-06,6.845925e-07
0.001025,0.0163962,0.0519137,2.0765e-06,6.830995e-07
0.001026,0.0164584,0.0517023,2.0681e-06,6.816065e-07
0.001027,0.0165205,0.0514908,2.0596e-06,6.801134e-07
0.001028,0.0165827,0.0512793,2.0512e-06,6.786204e-07
0.001029,0.0166449,0.0510679,2.0427e-06,6.771274e-07
0.00103,0.016707,0.0508564,2.0343e-06,6.756344e-07
0.001031,0.0167692,0.050645,2.0258e-06,6.741414e-07
0.001032,0.0168313,0.0504335,2.0173e-06,6.726483e-07
0.001033,0.0168935,0.050222,2.0089e-06,6.711553e-07
0.001034,0.0169556,0.0500106,2.0004e-06,6.696623e-07
0.001035,0.0170178,0.0497991,1.992e-06,6.681693e-07
0.001036,0.01708,0.0495877,1.9835e-06,6.666763e-07
0.001037,0.0171421,0.0493762,1.975e-06,6.651832e-07
0.001038,0.0172043,0.0491647,1.9666e-06,6.636902e-07
0.001039,0.0172664,0.0489533,1.9581e-06,6.621972e-07
0.00104,0.0173286,0.0487418,1.9497e-06,6.607042e-07
0.001041,0.0173908,0.0485304,1.9412e-06,6.592111e-07
0.001042,0.0174529,0.0483189,1.9328e-06,6.577181e-07
0.001043,0.0175151,0.0481074,1.9243e-06,6.562251e-07
0.001044,0.0175772,0.047896,1.9158e-06,6.547321e-07
0.001045,0.0176394,0.0476845,1.9074e-06,6.532391e-07
0.001046,0.0177015,0.0474731,1.8989e-06,6.51746e-07
0.001047,0.0177637,0.0472616,1.8905e-06,6.50253e-07
0.001048,0.0178259,0.0470501,1.882e-06,6.4876e-07
0.001049,0.017888,0.0468387,1.8735e-06,6.47267e-07
0.00105,0.0179502,0.0466272,1.8651e-06,6.45774e-07
0.001051,0.0180123,0.0464158,1.8566e-06,6.442809e-07
0.001052,0.0180745,0.0462043,1.8482e-06,6.427879e-07
0.001053,0.0181366,0.0459928,1.8397e-06,6.412949e-07
0.001054,0.0181988,0.0457814,1.8313e-06,6.398019e-07
0.001055,0.018261,0.0455699,1.8228e-06,6.383088e-07
0.001056,0.0183231,0.0453585,1.8143e-06,6.368158e-07
0.001057,0.0183853,0.045147,1.8059e-06,6.353228e-07
0.001058,0.0184474,0.0449355,1.7974e-06,6.338298e-07
0.001059,0.0185096,0.0447241,1.789e-06,6.323368e-07
0.00106,0.0186134,0.0445732,1.7829e-06,6.318661e-07
0.001061,0.0187196,0.0444256,1.777e-06,6.314518e-07
0.001062,0.0188257,0.044278,1.7711e-06,6.310375e-07
0.001063,0.0189319,0.0441304,1.7652e-06,6.306232e-07
0.001064,0.019038,0.0439829,1.7593e-06,6.30209e-07
0.001065,0.0191442,0.0438353,1.7534e-06,6.297947e-07
0.001066,0.0192503,0.0436877,1.7475e-06,6.293804e-07
0.001067,0.0193565,0.0435401,1.7416e-06,6.289661e-07
0.001068,0.0194626,0.0433925,1.7357e-06,6.285519e-07
0.001069,0.0195688,0.043245,1.7298e-06,6.281376e-07
0.00107,0.0196749,0.0430974,1.7239e-06,6.277233e-07
0.001071,0.0197811,0.0429498,1.718e-06,6.27309e-07
0.001072,0.0198872,0.0428022,1.7121e-06,6.268948e-07
0.001073,0.0199934,0.0426547,1.7062e-06,6.264805e-07
0.001074,0.0200995,0.0425071,1.7003e-06,6.260662e-07
0.001075,0.0202057,0.0423595,1.6944e-06,6.256519e-07
0.001076,0.0203118,0.0422119,1.6885e-06,6.252376e-07
0.001077,0.020418,0.0420643,1.6826e-06,6.248234e-07
0.001078,0.0205241,0.0419168,1.6767e-06,6.244091e-07
0.001079,0.0206303,0.0417692,1.6708e-06,6.239948e-07
0.00108,0.0207364,0.0416216,1.6649e-06,6.235805e-07
0.001081,0.0208426,0.041474,1.659e-06,6.231663e-07
0.001082,0.0209487,0.0413265,1.6531e-06,6.22752e-07
0.001083,0.0210549,0.0411789,1.6472e-06,6.223377e-07
0.001084,0.021161,0.0410313,1.6413e-06,6.219234e-07
0.001085,0.0212672,0.0408837,1.6353e-06,6.215092e-07
0.001086,0.0213733,0.0407361,1.6294e-06,6.210949e-07
0.001087,0.0214795,0.0405886,1.6235e-06,6.206806e-07
0.001088,0.0215856,0.040441,1.6176e-06,6.202663e-07
0.001089,0.0216918,0.0402934,1.6117e-06,6.198521e-07
